"source_group","source_path","line","timestamp_utc","token","classification","exclude_reason","confidence","address_candidates","symbol_hints"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","872",,"0x886660","new-candidate",,"medium","886660;486660;C86660","FhUtil"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","250",,"0xD2CCFF","new-candidate",,"medium","D2CCFF;92CCFF;112CCFF",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","166",,"0xF26B08","new-candidate",,"medium","F26B08;B26B08;1326B08",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","356",,"FUN_00A56E00","new-candidate",,"medium","A56E00;656E00;E56E00","FUN_00a56e00;FUN_00A56E00"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1145",,"0x00D2C8A7","new-candidate",,"medium","D2C8A7;92C8A7;112C8A7",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","705",,"FUN_00A57F80","new-candidate",,"medium","A57F80;657F80;E57F80","FhMethodHandle;FUN_00a57f80;__addr_FUN_00a57f80;FUN_00A57F80"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","864",,"0x01469EE4","new-candidate",,"medium","1469EE4;1069EE4;1869EE4","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","3298",,"FUN_00A45500","new-candidate",,"medium","A45500;645500;E45500","FhUtil;FUN_00a45500;FUN_00A45500"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","161",,"0x305AA0","new-candidate",,"medium","305AA0;705AA0","__addr_cdc_FFXVu0MulMatrix"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","372",,"0x6482D0","new-candidate",,"medium","6482D0;2482D0;A482D0","__addr_FUN_00a482d0"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","96",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2539",,"FUN_00A4FB70","new-candidate",,"medium","A4FB70;64FB70;E4FB70","FhUtil;FUN_00a4fb70;FUN_00A4FB70"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","871",,"0x00D3223C","new-candidate",,"medium","D3223C;93223C;113223C",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3977",,"0x0085A318","new-candidate",,"medium","85A318;45A318;C5A318",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","26",,"0xD3818C","new-candidate",,"medium","D3818C;93818C;113818C",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4549",,"0x00D35EE1","new-candidate",,"medium","D35EE1;935EE1;1135EE1",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4044",,"0x0146A404","new-candidate",,"medium","146A404;106A404;186A404",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","156",,"0xF26AE8","new-candidate",,"medium","F26AE8;B26AE8;1326AE8",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","204",,"0xD321A4","new-candidate",,"medium","D321A4;9321A4;11321A4",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","320",,"FUN_00A58FF0","new-candidate",,"medium","A58FF0;658FF0;E58FF0","FUN_00a58ff0;FUN_00A58FF0"
"discord-compact",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/22 - fahrenheit-dev (1340460420477222923).json",,,"FFX.exe + 0x37CD90","new-candidate",,"medium","37CD90;77CD90","FhMethodLocation"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","56",,"FUN_00A59760","new-candidate",,"medium","A59760;659760;E59760","FUN_00a59760;__addr_FUN_00a59760;FUN_00A59760"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","637",,"FUN_00A45570","new-candidate",,"medium","A45570;645570;E45570","FhUtil;FUN_00a45570;__addr_FUN_00a45570;FUN_00A45570"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","213",,"0xD322D0","new-candidate",,"medium","D322D0;9322D0;11322D0",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","220",,"0xD32368","new-candidate",,"medium","D32368;932368;1132368",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2051",,"FUN_00A4F930","new-candidate",,"medium","A4F930;64F930;E4F930","FhUtil;FUN_00a4f930;FUN_00A4F930"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","60",,"0x649440","new-candidate",,"medium","649440;249440;A49440","__addr_FUN_00a49440"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/damageReworks-0e9da96560a505dd.cs","51",,"0x3892A0","new-candidate",,"medium","3892A0;7892A0","FhMethodHandle"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","208",,"0xD3223C","new-candidate",,"medium","D3223C;93223C;113223C",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","548",,"0x6598A0","new-candidate",,"medium","6598A0;2598A0;A598A0","__addr_FUN_00a598a0"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","215",,"0xD322D4","new-candidate",,"medium","D322D4;9322D4;11322D4",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","483",,"0x647F00","new-candidate",,"medium","647F00;247F00;A47F00","__addr_FUN_00a47f00"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3330",,"0x00D30F2C","new-candidate",,"medium","D30F2C;930F2C;1130F2C",""
"rg-scan",".workspace/research/FFX_TAS_Python/players/base.py","25",,"0x00F3F7A8","new-candidate",,"medium","F3F7A8;B3F7A8;133F7A8",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","444",,"FUN_00A68140","new-candidate",,"medium","A68140;668140;E68140","FUN_00a68140;FUN_00A68140"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","920",,"0x88F930","new-candidate",,"medium","88F930;48F930;C8F930","FhUtil"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2565",,"0xD2CE90","new-candidate",,"medium","D2CE90;92CE90;112CE90",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","509",,"FUN_00A4C8D0","new-candidate",,"medium","A4C8D0;64C8D0;E4C8D0","FhMethodHandle;FUN_00a4c8d0;FUN_00A4C8D0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2200",,"0x01140088","new-candidate",,"medium","1140088;D40088;1540088",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","184",,"0xD32650","new-candidate",,"medium","D32650;932650;1132650",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","581",,"FUN_00A5B980","new-candidate",,"medium","A5B980;65B980;E5B980","FhMethodHandle;FUN_00a5b980;FUN_00A5B980"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","539",,"FUN_00A58080","new-candidate",,"medium","A58080;658080;E58080","FUN_00a58080;__addr_FUN_00a58080;FUN_00A58080"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/X2TurnBased_module-e30181b1a2a3f1d5.cs","38",,"0x6401C0","new-candidate",,"medium","6401C0;2401C0;A401C0","FhMethodHandle"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","888",,"0x1F05800","new-candidate",,"medium","1F05800;1B05800;2305800","FhUtil"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1900",,"0x00D2D67C","new-candidate",,"medium","D2D67C;92D67C;112D67C",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1323",,"0x012AC838","new-candidate",,"medium","12AC838;EAC838;16AC838",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","148",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2092",,"0x01466D30","new-candidate",,"medium","1466D30;1066D30;1866D30",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","252",,"0xD2CD04","new-candidate",,"medium","D2CD04;92CD04;112CD04",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1654",,"0x00D2C9DC","new-candidate",,"medium","D2C9DC;92C9DC;112C9DC",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3924",,"0x01440B68","new-candidate",,"medium","1440B68;1040B68;1840B68",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","265",,"0xD2CC7C","new-candidate",,"medium","D2CC7C;92CC7C;112CC7C",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4124",,"0x012AD543","new-candidate",,"medium","12AD543;EAD543;16AD543",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2472",,"0x00D2CAC8","new-candidate",,"medium","D2CAC8;92CAC8;112CAC8",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","14",,"0xD2D67C","new-candidate",,"medium","D2D67C;92D67C;112D67C",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2635",,"0x008421C8","new-candidate",,"medium","8421C8;4421C8;C421C8",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2640",,"0x008E82A4","new-candidate",,"medium","8E82A4;4E82A4;CE82A4",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","502",,"FUN_00A4B790","new-candidate",,"medium","A4B790;64B790;E4B790","FUN_00a4b790;FUN_00A4B790"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4161",,"0x014DFDA0","new-candidate",,"medium","14DFDA0;10DFDA0;18DFDA0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","393",,"0x6474D0","new-candidate",,"medium","6474D0;2474D0;A474D0","__addr_FUN_00a474d0"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","301",,"0xF27F10","new-candidate",,"medium","F27F10;B27F10;1327F10",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","710",,"FUN_00A5A4B0","new-candidate",,"medium","A5A4B0;65A4B0;E5A4B0","FhMethodHandle;FUN_00a5a4b0;__addr_FUN_00a5a4b0;FUN_00A5A4B0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","54",,"FUN_00A59760","new-candidate",,"medium","A59760;659760;E59760","FUN_00a59760;FUN_00A59760"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","429",,"FUN_008BA330","new-candidate",,"medium","8BA330;4BA330;CBA330","FUN_008ba330;FUN_008BA330"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","658",,"FUN_00A47210","new-candidate",,"medium","A47210;647210;E47210","FhUtil;FUN_00a47210;__addr_FUN_00a47210;FUN_00A47210"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","926",,"0x88F790","new-candidate",,"medium","88F790;48F790;C8F790","FhUtil"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","5142",,"0xD35F0C","new-candidate",,"medium","D35F0C;935F0C;1135F0C",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","846",,"0x01686108","new-candidate",,"medium","1686108;1286108;1A86108","FhUtil"
"discord-compact",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json",,,"0x0524339E","new-candidate",,"medium","524339E;4E4339E;564339E","Fh"
"discord-compact",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json",,,"FUN_007B10D0","new-candidate",,"medium","7B10D0;3B10D0;BB10D0","FUN_007b10d0;FUN_007B10D0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2189",,"0x64FA30","new-candidate",,"medium","64FA30;24FA30;A4FA30","FhUtil;FUN_00a4fa30"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","497",,"FUN_00A49590","new-candidate",,"medium","A49590;649590;E49590","FUN_00a49590;FUN_00A49590"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2650",,"FUN_00A4F930","new-candidate",,"medium","A4F930;64F930;E4F930","FhUtil;FUN_00a4f930;FUN_00A4F930"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3050",,"0x014765DA","new-candidate",,"medium","14765DA;10765DA;18765DA",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","596",,"FUN_00A505E0","new-candidate",,"medium","A505E0;6505E0;E505E0","FUN_00a505e0;FUN_00A505E0"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","179",,"0xD3236C","new-candidate",,"medium","D3236C;93236C;113236C",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","919",,"0x88F830","new-candidate",,"medium","88F830;48F830;C8F830","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/OverdriveModes-eb9e5c84c3aebc61.cs","35",,"0x3B0CB0","new-candidate",,"medium","3B0CB0;7B0CB0","FUN_007b0cb0;FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","701",,"FUN_00A4C8D0","new-candidate",,"medium","A4C8D0;64C8D0;E4C8D0","FhMethodHandle;FUN_00a4c8d0;__addr_FUN_00a4c8d0;FUN_00A4C8D0"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","934",,"0x00D307ED","new-candidate",,"medium","D307ED;9307ED;11307ED",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/OverdriveModes-eb9e5c84c3aebc61.cs","35",,"FUN_007B0CB0","new-candidate",,"medium","7B0CB0;3B0CB0;BB0CB0","FUN_007b0cb0;FhUtil;FUN_007B0CB0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","901",,"0x01F05830","new-candidate",,"medium","1F05830;1B05830;2305830","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","379",,"FUN_00A49270","new-candidate",,"medium","A49270;649270;E49270","FUN_00a49270;__addr_FUN_00a49270;FUN_00A49270"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/Character7-693244e13fb825c5.cs","72",,"0x3AD5F0","new-candidate",,"medium","3AD5F0;7AD5F0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","682",,"FUN_008BA3C0","new-candidate",,"medium","8BA3C0;4BA3C0;CBA3C0","FhUtil;FUN_008ba3c0;__addr_FUN_008ba3c0;FUN_008BA3C0"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","142",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/ATBFillHandlerVanilla-2cf81b2c908c1473.cs","137",,"0x9F78A4","new-candidate",,"medium","9F78A4;5F78A4;DF78A4","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2034",,"FUN_00A570A0","new-candidate",,"medium","A570A0;6570A0;E570A0","FhUtil;FUN_00a570a0;FUN_00A570A0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2521",,"0x01140060","new-candidate",,"medium","1140060;D40060;1540060",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","845",,"0x16860E4","new-candidate",,"medium","16860E4;12860E4;1A860E4","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","1237",,"0x80000070","new-candidate",,"medium","80000070;7FC00070;80400070",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4103",,"0x008E72E0","new-candidate",,"medium","8E72E0;4E72E0;CE72E0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","1035",,"FUN_00A56060","new-candidate",,"medium","A56060;656060;E56060","FUN_00a59860;FUN_00a56060;FUN_00A56060"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1726",,"0x008E7300","new-candidate",,"medium","8E7300;4E7300;CE7300",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2197",,"0x01140088","new-candidate",,"medium","1140088;D40088;1540088",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","247",,"0xD2CDE4","new-candidate",,"medium","D2CDE4;92CDE4;112CDE4",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2541",,"0x003AB9B0","new-candidate",,"medium","3AB9B0;7AB9B0",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2736",,"0xF270B8","new-candidate",,"medium","F270B8;B270B8;13270B8",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","151",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","168",,"FUN_00A657C0","new-candidate",,"medium","A657C0;6657C0;E657C0","FUN_00a657c0;__addr_FUN_00a657c0;FUN_00A657C0"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2084",,"0x00F30038","new-candidate",,"medium","F30038;B30038;1330038",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1074",,"0x00F3F8C4","new-candidate",,"medium","F3F8C4;B3F8C4;133F8C4",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1915",,"0x0021D09A6","new-candidate",,"medium","21D09A6;1DD09A6;25D09A6",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","660",,"FUN_00A58FF0","new-candidate",,"medium","A58FF0;658FF0;E58FF0","FhUtil;FUN_00a58ff0;__addr_FUN_00a58ff0;FUN_00A58FF0"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","936",,"0x00D307EE","new-candidate",,"medium","D307EE;9307EE;11307EE",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","121",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/damageReworks-0e9da96560a505dd.cs","141",,"0x1F11241","new-candidate",,"medium","1F11241;1B11241;2311241","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","922",,"0x88F950","new-candidate",,"medium","88F950;48F950;C8F950","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/OverdriveModes-eb9e5c84c3aebc61.cs","55",,"FUN_007B10D0","new-candidate",,"medium","7B10D0;3B10D0;BB10D0","FhMethodHandle;FUN_007b10d0;FUN_007B10D0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2589",,"FUN_00A4FB70","new-candidate",,"medium","A4FB70;64FB70;E4FB70","FhUtil;FUN_00a4fb70;FUN_00A4FB70"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","15",,"0xF3080C","new-candidate",,"medium","F3080C;B3080C;133080C",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","150",,"0xF25B60","new-candidate",,"medium","F25B60;B25B60;1325B60",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2731",,"0x80000052","new-candidate",,"medium","80000052;7FC00052;80400052",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","4594",,"0x008CB9D8","new-candidate",,"medium","8CB9D8;4CB9D8;CCB9D8",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","292",,"0x1F10F20","new-candidate",,"medium","1F10F20;1B10F20;2310F20",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","921",,"0x88F940","new-candidate",,"medium","88F940;48F940;C8F940","FhUtil"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","308",,"0x8CB9D8","new-candidate",,"medium","8CB9D8;4CB9D8;CCB9D8",""
